Image_id,Image_label,image_keypoints1,image_keypoints2,image_keypoints3,image_keypoints4,image_keypoints5,image_keypoints6,image_keypoints7,image_keypoints8,image_keypoints9,image_keypoints10,image_keypoints11,image_keypoints12,image_keypoints13,image_keypoints14,image_keypoints15,image_keypoints16,image_keypoints17,image_keypoints18,image_keypoints19,image_keypoints20,image_keypoints21,image_keypoints22,image_keypoints23,image_keypoints24,image_keypoints25,image_keypoints26,image_keypoints27,image_keypoints28,image_keypoints29,image_keypoints30,image_keypoints31,image_keypoints32,image_keypoints33,image_keypoints34,image_keypoints35,image_keypoints36,image_keypoints37,image_keypoints38,image_keypoints39,image_keypoints40,image_keypoints41,image_keypoints42,image_keypoints43,image_keypoints44,image_keypoints45,image_keypoints46,image_keypoints47,image_keypoints48,image_keypoints49,image_keypoints50,image_keypoints51
Image_1.jpg,sitting,358.75,155.0,0.99755859375,392.25,121.125,0.998046875,336.75,125.75,0.978515625,466.0,120.625,0.9853515625,317.25,122.375,0.21484375,553.0,297.0,0.97802734375,277.5,250.875,0.9619140625,543.5,543.0,0.8408203125,211.375,435.75,0.79150390625,345.75,587.0,0.751953125,191.0,484.75,0.72998046875,414.25,605.0,0.495361328125,241.5,576.0,0.481689453125,332.25,596.5,0.03607177734375,151.0,564.5,0.0294189453125,354.5,612.5,0.007755279541015625,272.5,601.5,0.006439208984375
Image_4.jpg,sleeping,368.5,123.3125,0.9912109375,373.5,114.5,0.91943359375,355.5,115.9375,0.98876953125,380.5,122.0625,0.10540771484375,335.5,127.6875,0.86279296875,363.5,183.625,0.91552734375,329.0,186.125,0.9619140625,379.5,253.0,0.6416015625,360.0,260.5,0.8974609375,427.25,277.5,0.5234375,421.5,281.25,0.81201171875,360.5,319.0,0.85791015625,334.25,327.5,0.8984375,423.25,378.0,0.452392578125,409.25,394.75,0.56982421875,422.5,476.75,0.15771484375,404.0,494.5,0.1961669921875
Image_6.jpg,sleeping,578.0,346.5,0.998046875,593.0,331.5,0.998046875,569.0,341.5,0.9814453125,635.5,342.0,0.95556640625,571.0,358.75,0.23583984375,618.0,412.25,0.96044921875,625.0,411.0,0.91357421875,562.0,507.25,0.923828125,568.0,496.0,0.62158203125,479.0,539.0,0.89697265625,500.0,521.5,0.57421875,577.0,586.0,0.89697265625,591.0,557.0,0.8486328125,393.25,599.0,0.8359375,493.25,470.5,0.73388671875,375.75,597.0,0.64990234375,421.25,548.0,0.587890625
Image_15.jpg,sleeping,464.5,368.0,0.99609375,503.75,287.5,0.9990234375,432.0,307.25,0.923828125,659.0,214.75,0.98486328125,434.0,279.75,0.0364990234375,859.0,521.5,0.7919921875,580.5,489.0,0.798828125,833.0,830.0,0.1221923828125,436.0,756.5,0.1104736328125,394.25,704.0,0.1431884765625,303.5,683.0,0.11029052734375,795.0,907.0,0.041839599609375,619.5,869.0,0.053314208984375,465.75,804.0,0.01812744140625,348.25,773.5,0.015960693359375,530.0,839.5,0.008514404296875,561.5,849.5,0.00806427001953125
Image_33.jpg,sitting,489.25,223.875,0.99951171875,509.0,198.625,0.99365234375,462.5,197.75,0.99853515625,526.0,194.25,0.15673828125,401.0,185.25,0.81982421875,523.5,284.0,0.974609375,322.0,314.75,0.96240234375,566.5,466.5,0.8876953125,299.25,558.0,0.88037109375,557.5,500.0,0.8486328125,457.5,581.0,0.8896484375,534.5,599.0,0.8876953125,408.25,645.0,0.869140625,748.5,478.0,0.79345703125,708.0,515.0,0.8046875,925.0,626.5,0.5458984375,925.0,634.0,0.5615234375
Image_37.jpg,running,295.0,95.75,0.990234375,297.0,85.75,0.6484375,283.75,86.625,0.994140625,291.5,89.625,0.012237548828125,252.25,91.875,0.86181640625,299.25,146.875,0.970703125,200.125,152.125,0.978515625,316.5,205.5,0.931640625,136.25,211.5,0.95947265625,321.0,257.5,0.91943359375,173.75,286.5,0.94775390625,255.0,293.75,0.984375,207.5,296.25,0.986328125,252.625,413.0,0.962890625,265.0,409.25,0.9697265625,167.25,464.5,0.87353515625,235.0,520.0,0.88525390625
Image_45.jpg,sleeping,440.5,331.75,0.982421875,452.5,318.0,0.9833984375,428.75,318.75,0.970703125,475.75,314.5,0.93408203125,416.5,317.0,0.6171875,499.25,370.5,0.96337890625,380.25,360.5,0.951171875,557.0,357.75,0.9169921875,311.75,391.25,0.86572265625,545.0,371.75,0.890625,311.5,381.25,0.8427734375,484.0,523.5,0.931640625,408.75,524.0,0.92236328125,552.0,489.0,0.7744140625,505.75,481.0,0.76171875,679.5,577.0,0.505859375,613.0,588.0,0.50341796875
Image_48.jpg,sleeping,391.75,183.5,0.9912109375,405.75,172.5,0.99365234375,393.0,171.0,0.178466796875,443.25,185.5,0.99609375,439.25,176.25,0.2193603515625,443.5,267.5,0.9814453125,472.25,252.75,0.95751953125,433.5,344.25,0.970703125,558.0,315.0,0.86474609375,355.5,325.25,0.94677734375,487.75,359.0,0.822265625,460.25,477.25,0.9912109375,496.25,470.5,0.9873046875,355.25,611.0,0.990234375,564.0,626.0,0.98486328125,291.5,780.5,0.94775390625,699.0,691.5,0.9365234375
Image_62.jpg,sitting,299.25,234.0,0.99755859375,308.75,224.0,0.98876953125,286.25,225.5,0.9921875,323.25,236.25,0.82275390625,271.75,239.0,0.671875,359.5,307.25,0.96142578125,252.75,319.5,0.96533203125,409.0,386.0,0.92333984375,238.125,402.25,0.93505859375,362.0,361.5,0.908203125,229.75,457.5,0.9208984375,355.5,488.5,0.9794921875,284.5,493.5,0.9814453125,354.25,597.0,0.958984375,302.5,633.5,0.96533203125,336.5,629.5,0.88427734375,311.25,791.0,0.89111328125
Image_65.jpg,sleeping,458.5,55.75,0.003040313720703125,474.0,52.625,0.00238800048828125,441.5,51.5,0.002704620361328125,498.75,43.375,0.0038089752197265625,414.75,76.0,0.00621795654296875,547.5,55.875,0.055816650390625,364.0,51.5,0.06304931640625,582.0,24.0,0.6611328125,323.5,22.0,0.66455078125,602.0,165.0,0.92724609375,307.0,163.5,0.92529296875,520.5,132.375,0.92138671875,395.25,135.0,0.9267578125,497.5,200.375,0.97509765625,405.75,202.125,0.9755859375,486.0,486.5,0.953125,426.5,491.25,0.95263671875
Image_75.jpg,running,439.5,227.375,0.99853515625,417.75,156.25,0.95458984375,337.5,225.125,0.99951171875,443.25,163.5,0.017181396484375,241.875,336.5,0.84326171875,561.5,487.5,0.77685546875,311.0,554.0,0.8369140625,484.5,832.0,0.10052490234375,259.75,861.5,0.12347412109375,363.0,671.0,0.1480712890625,286.25,870.0,0.1361083984375,516.0,834.0,0.01554107666015625,365.0,845.0,0.0180511474609375,499.0,749.5,0.006191253662109375,332.75,744.0,0.0070953369140625,423.75,769.0,0.004467010498046875,304.75,795.5,0.00490570068359375
